Q5,Q7,Q8,Q9,Q15,Q16,Q17,Q20,Q23,Q23_5_TEXT,Q29_1,Q31,Q55,Q35,Q36,Q40_1,Q40_2,Q40_3,Q41_23,Q42_1,Q42_2,Q42_3,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q43_11_TEXT,Q47_1,Q47_2
Social Sciences,Woman,Asian,22,,,,"Sad,Scared,Angry",Community engagement,,,,,Yes,No,Strongly agree,Neutral,Strongly agree,3,Every day,Every couple of days,Never,Very important,Very important,Very important,Important,Very important,Very important,Very important,Not important,Moderately important,Important,Very important,SUPREME COURT JUSTICE,Very knowledgeable,Very knowledgeable
Business,Woman,White,19,,,,"Sad,Scared",Community engagement,,1,Yes; it was counted,Only Democrats,Yes,No,Strongly agree,Somewhat agree,Strongly disagree,3,Once a week,Once a week,Never,Very important,Important,Important,Very important,Important,Moderately important,Very important,Very important,Important,Important,Important,homelessness,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,Asian,18,,,,"Sad,Scared,Angry",Community engagement,,1,No; I did not check,Mostly Democrats,Yes,No,Somewhat agree,Strongly agree,Somewhat agree,3,Every day,Every couple of days,Once or twice a month,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Arts & Humanities,Man,White,19,,,,Sad,Volunteering,,3,No; I did not check,Mostly Democrats,I do not remember,No,Strongly agree,Neutral,Neutral,4,Once a week,Every couple of days,Never,Very important,Very important,Very important,Very important,Important,Very important,Moderately important,Important,Very important,Important,Moderately important,None,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,Asian,19,,,,Scared,Voting,,3,No; I did not check,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat disagree,2,Every couple of days,Every day,Never,Very important,Very important,Very important,Important,Important,Very important,Very important,Important,Important,Important,Moderately important,social welfare,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Asian,18,,,,Sad,Volunteering,,,No; I do not know how,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Strongly agree,2,Once or twice a month,Once a week,Never,Very important,Very important,Very important,Very important,Moderately important,Important,Very important,Moderately important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
Physical Sciences/Mathematics,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Volunteering,,1,No; I do not know how,Mostly Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat disagree,3,Every couple of days,Every day,Once a week,Very important,Very important,Very important,Important,Moderately important,Moderately important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Man,Asian,19,,,,"Sad,Scared,Angry",Volunteering,,2,No; I did not check,Mostly Democrats,No,No,Somewhat agree,Somewhat agree,Neutral,2,Once a week,Once a week,Once or twice a month,Important,Important,Important,Very important,Moderately important,Very important,Moderately important,Very important,Very important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,White,18,,,,"Sad,Scared,Angry",Volunteering,,2,No; I did not check,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat agree,1,Every day,Every day,Never,Very important,Very important,Very important,Important,Important,Important,Very important,Very important,Important,Important,Not important,,Moderately knowledgeable,Moderately knowledgeable
Physical Sciences/Mathematics,Woman,Asian,20,,,,"Sad,Scared,Angry",Volunteering,,,,,No,No,Neutral,Strongly agree,Strongly agree,3,Once a week,Once or twice a month,Never,Very important,Very important,Very important,Moderately important,Slightly important,Important,Moderately important,Slightly important,Very important,Important,Very important,,Slightly knowledgeable,Not knowledgeable at all
Social Sciences,Woman,Mexican American/Chicanx,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry,Other",Community engagement,,,Yes; it was counted,Mostly Democrats,I do not remember,No,Somewhat agree,Somewhat disagree,Neutral,4,Once a week,Every couple of days,Never,Important,Slightly important,Important,Very important,Moderately important,Very important,Important,Very important,Very important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Man,Mixed Race,19,,,,"Sad,Angry",Community engagement,,1,No; I do not know how,Only Democrats,Yes,Yes,Strongly agree,Strongly agree,Strongly disagree,2,Every couple of days,Every day,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
Social Sciences,Woman,Pacific Islander,19,,,,"Sad,Scared,Angry",Voting,,5,Yes; it was counted,Mostly Democrats,Yes,No,Strongly agree,Strongly agree,Strongly agree,6,Every couple of days,Every couple of days,Once a week,Slightly important,Moderately important,Moderately important,Important,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,,Very knowledgeable,Very knowledgeable
Life Sciences,Woman,Mexican American/Chicanx,18,,,,"Sad,Scared,Angry",Volunteering,,2,No; I did not check,Only Democrats,I do not remember,No,Somewhat agree,Strongly agree,Somewhat agree,3,Once or twice a year,Once a week,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
Physical Sciences/Mathematics,Man,Asian,19,,,,"Sad,Scared,Angry,Other",Other,Going to a place directly where your engagement makes a difference(especially when it comes to conflicting ideologies),1,,,I do not remember,No,Strongly agree,Strongly agree,Strongly agree,3,Every couple of days,Every couple of days,Never,Important,Moderately important,Important,Important,Important,Very important,Very important,Very important,Very important,Slightly important,Slightly important,Treatment/rights of workers in the public sector,Slightly knowledgeable,Slightly knowledgeable
Business,Woman,Asian,18,,,,Scared,Community engagement,,2,,,I do not remember,Yes,Somewhat agree,Somewhat agree,Neutral,3,Every couple of days,Every day,Once or twice a month,Very important,Very important,Very important,Very important,Important,Important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
Engineering/Computer Science,Man,White,20,Yes,Polling station,Clinton,"Sad,Scared,Angry",Volunteering,,1,No; I did not check,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Strongly agree,1,Every couple of days,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,checks and balances,Very knowledgeable,Very knowledgeable
Life Sciences,Woman,Mixed Race,18,,,,Scared,Community engagement,,2,,,I do not remember,No,Strongly agree,Somewhat agree,Somewhat agree,5,Once or twice a year,Once or twice a month,Never,Important,Moderately important,Important,Important,Moderately important,Moderately important,Very important,Very important,Important,Important,,,Not knowledgeable at all,Not knowledgeable at all
Life Sciences,Woman,Asian,19,,,,Other,Community engagement,,1,No; I do not know how,Mostly Republicans,Yes,No,Strongly agree,Strongly disagree,Somewhat disagree,8,Once or twice a month,Once a week,Never,Important,Not important,Slightly important,Very important,Moderately important,Moderately important,Not important,Important,Not important,Important,Very important,Education ,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Man,Asian,21,Yes,Polling station,Clinton,Sad,Community engagement,,2,No; I did not check,Mostly Democrats,I do not remember,No,Somewhat agree,Strongly agree,Somewhat disagree,2,Once a week,Every couple of days,Never,Very important,Very important,Important,Moderately important,Very important,Important,Very important,Very important,Very important,Very important,Moderately important,,Moderately knowledgeable,Very knowledgeable
Social Sciences,Woman,Asian,25+,Yes,Polling station,Clinton,Sad,Community engagement,,,No; I do not know how,Mostly Democrats,No,No,Strongly agree,Somewhat agree,Neutral,3,Once a week,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Moderately knowledgeable
Physical Sciences/Mathematics,Woman,Mexican American/Chicanx,18,,,,"Sad,Scared,Angry",Voting,,3,No; I do not know how,Only Democrats,No,No,Strongly agree,Strongly disagree,Strongly disagree,3,Every couple of days,Every couple of days,Never,Very important,Important,Very important,Very important,Important,Very important,Very important,Important,Important,Moderately important,,,Moderately knowledgeable,Moderately knowledgeable
Physical Sciences/Mathematics,Man,White,19,,,,Sad,Community engagement,,3,No; I did not check,Only Democrats,No,No,Somewhat agree,Neutral,Somewhat disagree,3,Once or twice a month,Once a week,Once or twice a month,Very important,Important,Important,Important,Moderately important,Very important,Very important,Important,Very important,Very important,Moderately important,,Not knowledgeable at all,Slightly knowledgeable
Life Sciences,Woman,Mixed Race,18,,,,"Sad,Scared,Angry",Community engagement,,1,No; I do not know how,Only Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat disagree,2,Once or twice a month,Once or twice a month,Never,Very important,Very important,Very important,Very important,Important,Important,Important,Important,Very important,Important,,,Moderately knowledgeable,Slightly knowledgeable
Arts & Humanities,Woman,White,18,,,,"Sad,Scared,Angry",Voting,,2,No; I do not know how,Only Democrats,No,I did not have class that day,Strongly agree,Somewhat agree,Somewhat disagree,1,Every day,Every couple of days,Once or twice a month,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Man,Asian,21,Yes,Absentee / mail ballot,Clinton,Other,Other,I don't know,,Yes; it was counted,Mostly Democrats,No,No,Strongly agree,Somewhat agree,Somewhat disagree,3,Once or twice a month,Once a week,Once or twice a year,Very important,Moderately important,Moderately important,Moderately important,Important,Important,Moderately important,Moderately important,Moderately important,Slightly important,Not important,??? (wouldn't let me continue survey without filling this out),Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,Asian,18,,,,Happy,Community engagement,,1,Yes; it was counted,Only Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat disagree,3,Every couple of days,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Moderately knowledgeable
